conceptType,conceptUri,broaderType,broaderUri
SkillGroup,http://data.europa.eu/esco/isced-f/00,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/000,SkillGroup,http://data.europa.eu/esco/isced-f/00
SkillGroup,http://data.europa.eu/esco/isced-f/0000,SkillGroup,http://data.europa.eu/esco/isced-f/000
SkillGroup,http://data.europa.eu/esco/isced-f/001,SkillGroup,http://data.europa.eu/esco/isced-f/00
SkillGroup,http://data.europa.eu/esco/isced-f/0011,SkillGroup,http://data.europa.eu/esco/isced-f/001
SkillGroup,http://data.europa.eu/esco/isced-f/002,SkillGroup,http://data.europa.eu/esco/isced-f/00
SkillGroup,http://data.europa.eu/esco/isced-f/0021,SkillGroup,http://data.europa.eu/esco/isced-f/002
SkillGroup,http://data.europa.eu/esco/isced-f/003,SkillGroup,http://data.europa.eu/esco/isced-f/00
SkillGroup,http://data.europa.eu/esco/isced-f/0031,SkillGroup,http://data.europa.eu/esco/isced-f/003
SkillGroup,http://data.europa.eu/esco/isced-f/009,SkillGroup,http://data.europa.eu/esco/isced-f/00
SkillGroup,http://data.europa.eu/esco/isced-f/0099,SkillGroup,http://data.europa.eu/esco/isced-f/009
SkillGroup,http://data.europa.eu/esco/isced-f/01,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/011,SkillGroup,http://data.europa.eu/esco/isced-f/01
SkillGroup,http://data.europa.eu/esco/isced-f/0110,SkillGroup,http://data.europa.eu/esco/isced-f/011
SkillGroup,http://data.europa.eu/esco/isced-f/0111,SkillGroup,http://data.europa.eu/esco/isced-f/011
SkillGroup,http://data.europa.eu/esco/isced-f/0112,SkillGroup,http://data.europa.eu/esco/isced-f/011
SkillGroup,http://data.europa.eu/esco/isced-f/0113,SkillGroup,http://data.europa.eu/esco/isced-f/011
SkillGroup,http://data.europa.eu/esco/isced-f/0114,SkillGroup,http://data.europa.eu/esco/isced-f/011
SkillGroup,http://data.europa.eu/esco/isced-f/0119,SkillGroup,http://data.europa.eu/esco/isced-f/011
SkillGroup,http://data.europa.eu/esco/isced-f/018,SkillGroup,http://data.europa.eu/esco/isced-f/01
SkillGroup,http://data.europa.eu/esco/isced-f/0188,SkillGroup,http://data.europa.eu/esco/isced-f/018
SkillGroup,http://data.europa.eu/esco/isced-f/02,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/020,SkillGroup,http://data.europa.eu/esco/isced-f/02
SkillGroup,http://data.europa.eu/esco/isced-f/0200,SkillGroup,http://data.europa.eu/esco/isced-f/020
SkillGroup,http://data.europa.eu/esco/isced-f/021,SkillGroup,http://data.europa.eu/esco/isced-f/02
SkillGroup,http://data.europa.eu/esco/isced-f/0210,SkillGroup,http://data.europa.eu/esco/isced-f/021
SkillGroup,http://data.europa.eu/esco/isced-f/0211,SkillGroup,http://data.europa.eu/esco/isced-f/021
SkillGroup,http://data.europa.eu/esco/isced-f/0212,SkillGroup,http://data.europa.eu/esco/isced-f/021
SkillGroup,http://data.europa.eu/esco/isced-f/0213,SkillGroup,http://data.europa.eu/esco/isced-f/021
SkillGroup,http://data.europa.eu/esco/isced-f/0214,SkillGroup,http://data.europa.eu/esco/isced-f/021
SkillGroup,http://data.europa.eu/esco/isced-f/0215,SkillGroup,http://data.europa.eu/esco/isced-f/021
SkillGroup,http://data.europa.eu/esco/isced-f/0219,SkillGroup,http://data.europa.eu/esco/isced-f/021
SkillGroup,http://data.europa.eu/esco/isced-f/022,SkillGroup,http://data.europa.eu/esco/isced-f/02
SkillGroup,http://data.europa.eu/esco/isced-f/0220,SkillGroup,http://data.europa.eu/esco/isced-f/022
SkillGroup,http://data.europa.eu/esco/isced-f/0221,SkillGroup,http://data.europa.eu/esco/isced-f/022
SkillGroup,http://data.europa.eu/esco/isced-f/0222,SkillGroup,http://data.europa.eu/esco/isced-f/022
SkillGroup,http://data.europa.eu/esco/isced-f/0223,SkillGroup,http://data.europa.eu/esco/isced-f/022
SkillGroup,http://data.europa.eu/esco/isced-f/0228,SkillGroup,http://data.europa.eu/esco/isced-f/022
SkillGroup,http://data.europa.eu/esco/isced-f/0229,SkillGroup,http://data.europa.eu/esco/isced-f/022
SkillGroup,http://data.europa.eu/esco/isced-f/023,SkillGroup,http://data.europa.eu/esco/isced-f/02
SkillGroup,http://data.europa.eu/esco/isced-f/0230,SkillGroup,http://data.europa.eu/esco/isced-f/023
SkillGroup,http://data.europa.eu/esco/isced-f/0231,SkillGroup,http://data.europa.eu/esco/isced-f/023
SkillGroup,http://data.europa.eu/esco/isced-f/0232,SkillGroup,http://data.europa.eu/esco/isced-f/023
SkillGroup,http://data.europa.eu/esco/isced-f/0239,SkillGroup,http://data.europa.eu/esco/isced-f/023
SkillGroup,http://data.europa.eu/esco/isced-f/028,SkillGroup,http://data.europa.eu/esco/isced-f/02
SkillGroup,http://data.europa.eu/esco/isced-f/0288,SkillGroup,http://data.europa.eu/esco/isced-f/028
SkillGroup,http://data.europa.eu/esco/isced-f/029,SkillGroup,http://data.europa.eu/esco/isced-f/02
SkillGroup,http://data.europa.eu/esco/isced-f/0299,SkillGroup,http://data.europa.eu/esco/isced-f/029
SkillGroup,http://data.europa.eu/esco/isced-f/03,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/030,SkillGroup,http://data.europa.eu/esco/isced-f/03
SkillGroup,http://data.europa.eu/esco/isced-f/0300,SkillGroup,http://data.europa.eu/esco/isced-f/030
SkillGroup,http://data.europa.eu/esco/isced-f/031,SkillGroup,http://data.europa.eu/esco/isced-f/03
SkillGroup,http://data.europa.eu/esco/isced-f/0310,SkillGroup,http://data.europa.eu/esco/isced-f/031
SkillGroup,http://data.europa.eu/esco/isced-f/0311,SkillGroup,http://data.europa.eu/esco/isced-f/031
SkillGroup,http://data.europa.eu/esco/isced-f/0312,SkillGroup,http://data.europa.eu/esco/isced-f/031
SkillGroup,http://data.europa.eu/esco/isced-f/0313,SkillGroup,http://data.europa.eu/esco/isced-f/031
SkillGroup,http://data.europa.eu/esco/isced-f/0314,SkillGroup,http://data.europa.eu/esco/isced-f/031
SkillGroup,http://data.europa.eu/esco/isced-f/0319,SkillGroup,http://data.europa.eu/esco/isced-f/031
SkillGroup,http://data.europa.eu/esco/isced-f/032,SkillGroup,http://data.europa.eu/esco/isced-f/03
SkillGroup,http://data.europa.eu/esco/isced-f/0320,SkillGroup,http://data.europa.eu/esco/isced-f/032
SkillGroup,http://data.europa.eu/esco/isced-f/0321,SkillGroup,http://data.europa.eu/esco/isced-f/032
SkillGroup,http://data.europa.eu/esco/isced-f/0322,SkillGroup,http://data.europa.eu/esco/isced-f/032
SkillGroup,http://data.europa.eu/esco/isced-f/0329,SkillGroup,http://data.europa.eu/esco/isced-f/032
SkillGroup,http://data.europa.eu/esco/isced-f/038,SkillGroup,http://data.europa.eu/esco/isced-f/03
SkillGroup,http://data.europa.eu/esco/isced-f/0388,SkillGroup,http://data.europa.eu/esco/isced-f/038
SkillGroup,http://data.europa.eu/esco/isced-f/039,SkillGroup,http://data.europa.eu/esco/isced-f/03
SkillGroup,http://data.europa.eu/esco/isced-f/0399,SkillGroup,http://data.europa.eu/esco/isced-f/039
SkillGroup,http://data.europa.eu/esco/isced-f/04,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/040,SkillGroup,http://data.europa.eu/esco/isced-f/04
SkillGroup,http://data.europa.eu/esco/isced-f/0400,SkillGroup,http://data.europa.eu/esco/isced-f/040
SkillGroup,http://data.europa.eu/esco/isced-f/041,SkillGroup,http://data.europa.eu/esco/isced-f/04
SkillGroup,http://data.europa.eu/esco/isced-f/0410,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0411,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0412,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0413,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0414,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0415,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0416,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0417,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0419,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/042,SkillGroup,http://data.europa.eu/esco/isced-f/04
SkillGroup,http://data.europa.eu/esco/isced-f/0421,SkillGroup,http://data.europa.eu/esco/isced-f/042
SkillGroup,http://data.europa.eu/esco/isced-f/048,SkillGroup,http://data.europa.eu/esco/isced-f/04
SkillGroup,http://data.europa.eu/esco/isced-f/0488,SkillGroup,http://data.europa.eu/esco/isced-f/048
SkillGroup,http://data.europa.eu/esco/isced-f/049,SkillGroup,http://data.europa.eu/esco/isced-f/04
SkillGroup,http://data.europa.eu/esco/isced-f/0499,SkillGroup,http://data.europa.eu/esco/isced-f/049
SkillGroup,http://data.europa.eu/esco/skill/00d5d1d2-c521-4c58-9df5-2939c0ce9adb,SkillGroup,http://data.europa.eu/esco/skill/e1746275-6d4e-4b02-b526-eeebf3052b6d
SkillGroup,http://data.europa.eu/esco/skill/0101f8a4-4243-4e67-813b-3e2a6274f7e2,SkillGroup,http://data.europa.eu/esco/skill/0a2d70ee-d435-4965-9e96-702b2fb65740
